symbol,date,time,side,entry,stop_loss,tp1,tp2,tp3,tp4
GIGGLEUSDT,2025-12-01,05:30,long,135.82,131.0663,137.31402,139.2155,141.2528,143.9692
VFYUSDT,2025-12-01,05:30,long,0.03217,0.031044,0.032524,0.032974,0.033457,0.0341
GRIFFAINUSDT,2025-12-01,05:30,long,0.0211,0.020362,0.021332,0.021627,0.021944,0.022366
BRUSDT,2025-12-01,05:30,long,0.05945,0.057369,0.060104,0.060936,0.061828,0.063017
EULUSDT,2025-12-01,05:30,long,4.474,4.31741,4.523214,4.58585,4.65296,4.74244
LABUSDT,2025-12-01,05:30,short,0.08947,0.092601,0.088486,0.087233,0.085891,0.084102
PIPPINUSDT,2025-12-01,05:30,long,0.15063,0.145358,0.152287,0.154396,0.156655,0.159668
BIDUSDT,2025-12-01,05:30,long,0.04441,0.042856,0.044899,0.04552,0.046186,0.047075
MOGUSDT,2025-11-27,05:30,long,0.3158,0.304747,0.319274,0.323695,0.328432,0.334748
TAGUSDT,2025-11-27,05:30,long,0.000574,0.000554,0.000581,0.000589,0.000597,0.000609
STBLUSDT,2025-11-27,05:30,long,0.07225,0.069721,0.073045,0.074056,0.07514,0.076585
POPCATUSDT,2025-11-27,05:30,long,0.11,0.10615,0.11121,0.11275,0.1144,0.1166
AGTUSDT,2025-11-27,05:30,long,0.002984,0.00288,0.003017,0.003059,0.003103,0.003163
USELESSUSDT,2025-11-27,05:30,long,0.1241,0.119757,0.125465,0.127202,0.129064,0.131546
HANAUSDT,2025-11-27,05:30,long,0.01976,0.019068,0.019977,0.020254,0.02055,0.020946
SQDUSDT,2025-11-27,05:30,long,0.05818,0.056144,0.05882,0.059635,0.060507,0.061671
MOODENGUSDT,2025-11-27,05:30,long,0.07947,0.076689,0.080344,0.081457,0.082649,0.084238
PENGUUSDT,2025-11-27,05:30,long,0.01162,0.011213,0.011748,0.01191,0.012085,0.012317
IDOLUSDT,2025-11-27,05:30,long,0.03206,0.030938,0.032413,0.032861,0.033342,0.033984
MONUSDT,2025-11-27,05:30,long,0.04686,0.04522,0.047375,0.048031,0.048734,0.049672
XPLUSDT,2025-11-27,05:30,long,0.2177,0.210081,0.220095,0.223142,0.226408,0.230762
NAORISUSDT,2025-11-25,09:30,long,0.02679,0.025852,0.027085,0.02746,0.027862,0.028397
PIPPINUSDT,2025-11-25,09:30,long,0.05495,0.053027,0.055554,0.056324,0.057148,0.058247
CHILLGUYUSDT,2025-11-25,05:30,long,0.01781,0.017187,0.018006,0.018255,0.018522,0.018879
XNYUSDT,2025-11-25,05:30,long,0.004313,0.004162,0.00436,0.004421,0.004486,0.004572
SPXUSDT,2025-11-25,05:30,long,0.5777,0.55748,0.584055,0.592142,0.600808,0.612362
AIOUSDT,2025-11-25,05:30,short,0.08742,0.09048,0.086458,0.085234,0.083923,0.082175
PARTIUSDT,2025-11-25,05:30,long,0.13659,0.131809,0.138092,0.140005,0.142054,0.144785
BIDUSDT,2025-11-25,01:30,short,0.03426,0.035459,0.033883,0.033403,0.03289,0.032204
GRIFFAINUSDT,2025-11-25,01:30,long,0.01397,0.013481,0.014124,0.014319,0.014529,0.014808
COMMONUSDT,2025-11-25,01:30,long,0.00741,0.007151,0.007492,0.007595,0.007706,0.007855
ICNTUSDT,2025-11-25,01:30,long,0.214,0.20651,0.216354,0.21935,0.22256,0.22684
XPINUSDT,2025-11-25,01:30,long,0.002317,0.002236,0.002342,0.002375,0.00241,0.002456
NAORISUSDT,2025-11-25,01:30,long,0.0266,0.025669,0.026893,0.027265,0.027664,0.028196
SQDUSDT,2025-11-22,01:30,short,0.04927,0.050994,0.048728,0.048038,0.047299,0.046314
FFUSDT,2025-11-22,01:30,short,0.12233,0.126612,0.120984,0.119272,0.117437,0.11499
STOUSDT,2025-11-22,01:30,short,0.12007,0.124272,0.118749,0.117068,0.115267,0.112866
AIXBTUSDT,2025-11-22,01:30,short,0.04453,0.046089,0.04404,0.043417,0.042749,0.041858
VINEUSDT,2025-11-22,01:30,short,0.02822,0.029208,0.02791,0.027514,0.027091,0.026527
CCUSDT,2025-11-22,01:30,short,0.0846,0.087561,0.083669,0.082485,0.081216,0.079524
BONKUSDT,2025-11-22,01:30,short,0.008925,0.009237,0.008827,0.008702,0.008568,0.008389
ARCUSDT,2025-11-22,01:30,short,0.03047,0.031536,0.030135,0.029708,0.029251,0.028642
POPCATUSDT,2025-11-22,01:30,short,0.0934,0.096669,0.092373,0.091065,0.089664,0.087796
PROVEUSDT,2025-11-22,01:30,short,0.4682,0.484587,0.46305,0.456495,0.449472,0.440108
HEIUSDT,2025-11-22,01:30,short,0.2158,0.223353,0.213426,0.210405,0.207168,0.202852
XPINUSDT,2025-11-22,01:30,short,0.002489,0.002576,0.002462,0.002427,0.002389,0.00234
FARTCOINUSDT,2025-11-22,01:30,short,0.2271,0.235048,0.224602,0.221422,0.218016,0.213474
LABUSDT,2025-11-22,01:30,short,0.09196,0.095179,0.090948,0.089661,0.088282,0.086442
SAPIENUSDT,2025-11-22,01:30,long,0.14447,0.139414,0.146059,0.148082,0.150249,0.153138
CHILLGUYUSDT,2025-11-22,01:30,short,0.01608,0.016643,0.015903,0.015678,0.015437,0.015115
BIOUSDT,2025-11-22,01:30,short,0.0602,0.062307,0.059538,0.058695,0.057792,0.056588
GRIFFAINUSDT,2025-11-22,01:30,short,0.01253,0.012969,0.012392,0.012217,0.012029,0.011778
TRUSTUSDT,2025-11-22,01:30,long,0.2515,0.242697,0.254266,0.257788,0.26156,0.26659
KERNELUSDT,2025-11-21,21:30,short,0.0855,0.088493,0.08456,0.083363,0.08208,0.08037
ZORAUSDT,2025-11-21,21:30,short,0.05427,0.056169,0.053673,0.052913,0.052099,0.051014
GOATUSDT,2025-11-21,21:30,short,0.04184,0.043304,0.04138,0.040794,0.040166,0.03933
COAIUSDT,2025-11-21,21:30,short,0.5118,0.529713,0.50617,0.499005,0.491328,0.481092
XPLUSDT,2025-11-21,21:30,short,0.2162,0.223767,0.213822,0.210795,0.207552,0.203228
IDOLUSDT,2025-11-21,21:30,short,0.03071,0.031785,0.030372,0.029942,0.029482,0.028867
