status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,position_size,exit_price,balance_after_trade
completed,NAORISUSDT,long,2025-10-23 21:30:00,0.04855,2.0,5.0,0.049521,0.046122500000000004,4.0,True,expired,-0.11303449179520138,-0.9268828327206513,2025-10-24 01:31:00,242.0,False,84,12.195121951219512,0.04809999838471413,974.625354075877
completed,IDOLUSDT,long,2025-10-23 21:30:00,0.03848,2.0,5.0,0.0392496,0.036556,4.0,True,expired,-0.2440292614691459,-2.0010399440469966,2025-10-24 01:31:00,242.0,False,85,12.195121951219512,0.037709999829530716,974.3813248144079
completed,AIAUSDT,short,2025-10-23 21:30:00,1.317,2.0,5.0,1.29066,1.38285,4.0,True,win,0.2439024390243906,2.0000000000000027,2025-10-23 22:44:00,53.0,False,86,12.195121951219512,1.29066,974.6252272534323
completed,XPINUSDT,long,2025-10-23 21:30:00,0.010118,2.0,5.0,0.01032036,0.0096121,4.0,True,loss,-0.6097560975609757,-5.000000000000001,2025-10-23 21:31:00,2.0,False,87,12.195121951219512,0.0096121,974.0154711558713
completed,UBUSDT,long,2025-10-23 21:30:00,0.047973,2.0,5.0,0.048932460000000004,0.04557435,4.0,False,no_entry,0.0,0.0,,0.0,False,88,12.195121951219512,,
completed,AIOTUSDT,long,2025-10-23 21:30:00,0.4887,2.0,5.0,0.49847400000000003,0.464265,4.0,True,win,0.24390243902439035,2.000000000000001,2025-10-24 00:05:00,156.0,False,89,12.195121951219512,0.49847400000000003,974.2593735948957
completed,RIVERUSDT,long,2025-10-23 21:30:00,8.451,2.0,5.0,8.62002,8.02845,4.0,False,no_entry,0.0,0.0,,0.0,False,90,12.195121951219512,,
completed,ARIAUSDT,long,2025-10-24 01:30:00,0.17937,2.0,5.0,0.1829574,0.17040149999999998,4.0,True,expired,0.03943333208171818,0.32335332307008907,2025-10-24 05:31:00,242.0,False,91,12.195121951219512,0.17994999885559082,974.2988069269774
completed,JELLYJELLYUSDT,long,2025-10-24 01:30:00,0.08166,2.0,5.0,0.0832932,0.077577,4.0,True,expired,-0.3628962654626301,-2.975749376793567,2025-10-24 05:31:00,242.0,False,92,12.195121951219512,0.07923000305891037,973.9359106615148
completed,COAIUSDT,long,2025-10-24 01:30:00,16.357,2.0,5.0,16.68414,15.53915,4.0,True,loss,-0.6097560975609757,-5.0,2025-10-24 01:31:00,2.0,False,93,12.195121951219512,15.53915,973.3261545639538
completed,AVNTUSDT,long,2025-10-24 01:30:00,0.6447,2.0,5.0,0.657594,0.612465,4.0,False,no_entry,0.0,0.0,,0.0,False,94,12.195121951219512,,
completed,TAGUSDT,long,2025-10-24 01:30:00,0.000433,2.0,5.0,0.00044166,0.00041135,4.0,True,win,0.24390243902439068,2.0000000000000036,2025-10-24 05:07:00,218.0,False,95,12.195121951219512,0.00044166,973.5700570029782
completed,PIPPINUSDT,long,2025-10-24 01:30:00,0.02128,2.0,5.0,0.021705600000000002,0.020215999999999998,4.0,True,win,0.24390243902439118,2.0000000000000075,2025-10-24 02:31:00,19.0,False,96,12.195121951219512,0.021705600000000002,973.8139594420026
completed,TAUSDT,long,2025-10-24 01:30:00,0.0516,2.0,5.0,0.052632,0.04902,4.0,True,win,0.24390243902438982,1.9999999999999967,2025-10-24 06:47:00,87.0,False,97,12.195121951219512,0.052632,974.057861881027
completed,DOLOUSDT,long,2025-10-24 05:30:00,0.08593,2.0,5.0,0.08764860000000001,0.0816335,4.0,True,expired,-0.21004064079316576,-1.7223332545039591,2025-10-24 10:10:00,242.0,False,98,12.195121951219512,0.08444999903440475,973.8478212402338
completed,LIGHTUSDT,long,2025-10-24 05:30:00,2.3002,2.0,5.0,2.3462039999999997,2.1851899999999995,4.0,True,win,0.2439024390243899,1.9999999999999973,2025-10-24 06:26:00,52.0,False,99,12.195121951219512,2.3462039999999997,974.0917236792582
completed,ARCUSDT,long,2025-10-24 05:30:00,0.01354,2.0,5.0,0.0138108,0.012863,4.0,True,loss,-0.609756097560976,-5.0000000000000036,2025-10-24 09:06:00,217.0,False,100,12.195121951219512,0.012863,973.4819675816972
completed,UBUSDT,long,2025-10-24 05:30:00,0.060344,2.0,5.0,0.06155088,0.0573268,4.0,True,loss,-0.6097560975609765,-5.000000000000007,2025-10-24 05:31:00,2.0,False,101,12.195121951219512,0.0573268,972.8722114841362
completed,RIVERUSDT,long,2025-10-24 05:30:00,9.726,2.0,5.0,9.920520000000002,9.239700000000001,4.0,True,win,0.2439024390243911,2.000000000000007,2025-10-24 06:22:00,7.0,False,102,12.195121951219512,9.920520000000002,973.1161139231606
completed,XPINUSDT,long,2025-10-24 05:30:00,0.008596,2.0,5.0,0.00876792,0.008166199999999998,4.0,True,loss,-0.6097560975609772,-5.000000000000012,2025-10-24 05:31:00,2.0,False,103,12.195121951219512,0.008166199999999998,972.5063578255996
completed,AIAUSDT,short,2025-10-24 05:30:00,1.307,2.0,5.0,1.2808599999999999,1.37235,4.0,True,loss,-0.6097560975609758,-5.000000000000002,2025-10-24 05:31:00,2.0,False,104,12.195121951219512,1.37235,971.8966017280386
completed,IDOLUSDT,long,2025-10-24 05:30:00,0.03752,2.0,5.0,0.038270399999999996,0.035643999999999995,4.0,True,expired,-0.38678572531131744,-3.171642947552803,2025-10-24 09:32:00,242.0,False,105,12.195121951219512,0.036329999566078186,971.5098160027272
completed,TAGUSDT,long,2025-10-24 09:30:00,0.000433,2.0,5.0,0.00044166,0.00041135,4.0,True,win,0.0,0.0,2025-10-24 11:22:00,113.0,False,106,12.195121951219512,0.00041135,971.5098160027272
completed,PROVEUSDT,long,2025-10-24 09:30:00,0.9338,2.0,5.0,0.952476,0.88711,4.0,False,no_entry,0.0,0.0,,0.0,False,107,12.195121951219512,,
completed,PIPPINUSDT,long,2025-10-24 09:30:00,0.02124,2.0,5.0,0.021664799999999998,0.020177999999999998,4.0,True,win,0.2439024390243899,1.9999999999999973,2025-10-24 10:51:00,3.0,False,108,12.195121951219512,0.021664799999999998,971.7537184417516
completed,TRUTHUSDT,long,2025-10-24 09:30:00,0.016466,2.0,5.0,0.016795320000000002,0.0156427,4.0,True,loss,-0.6097560975609775,-5.000000000000015,2025-10-24 10:50:00,81.0,False,109,12.195121951219512,0.0156427,971.1439623441906
completed,ARIAUSDT,long,2025-10-24 09:30:00,0.17999,2.0,5.0,0.18358980000000003,0.1709905,4.0,True,win,0.24390243902439118,2.0000000000000075,2025-10-24 09:31:00,2.0,False,110,12.195121951219512,0.18358980000000003,971.387864783215
completed,PUMPBTCUSDT,long,2025-10-24 13:30:00,0.0475,2.0,5.0,0.04845,0.045125,4.0,True,win,0.24390243902439013,1.9999999999999991,2025-10-24 13:46:00,10.0,False,111,12.195121951219512,0.04845,971.6317672222394
completed,UBUSDT,long,2025-10-24 13:30:00,0.056835,2.0,5.0,0.0579717,0.05399324999999999,4.0,True,loss,-0.6097560975609765,-5.000000000000007,2025-10-24 13:31:00,2.0,False,112,12.195121951219512,0.05399324999999999,971.0220111246784
