status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,TRUTHUSDT,long,2025-10-23 05:30:00,0.016538,2.0,5.0,0.01686876,0.0157111,16.0,True,win,0.9999999999999981,1.9999999999999962,2025-10-23 06:16:00,45.0,False,51,0.01686876,938.0808271033055
completed,FARTCOINUSDT,short,2025-10-23 05:30:00,0.3287,2.0,5.0,0.32212599999999997,0.345135,16.0,True,expired,-1.7188931512440973,-3.4377863024881945,2025-10-23 13:00:00,450.0,False,52,0.3400000035762787,936.3619339520615
completed,DOLOUSDT,short,2025-10-23 05:30:00,0.07778,2.0,5.0,0.0762244,0.081669,16.0,True,expired,-0.8806883032017229,-1.7613766064034457,2025-10-23 13:00:00,451.0,False,53,0.0791499987244606,935.4812456488597
completed,XPINUSDT,long,2025-10-23 05:30:00,0.004993,2.0,5.0,0.00509286,0.0047433499999999995,16.0,False,no_entry,0.0,0.0,,0.0,False,54,,
completed,IDOLUSDT,long,2025-10-23 05:30:00,0.03841,2.0,5.0,0.0391782,0.0364895,16.0,True,win,1.0000000000000047,2.0000000000000093,2025-10-23 07:50:00,133.0,False,55,0.0391782,936.4812456488597
completed,POPCATUSDT,short,2025-10-23 05:30:00,0.1425,2.0,5.0,0.13965,0.14962499999999998,16.0,True,expired,-1.7193005796064456,-3.438601159212891,2025-10-23 13:00:00,451.0,False,56,0.14740000665187836,934.7619450692533
completed,ARIAUSDT,long,2025-10-23 05:30:00,0.17548,2.0,5.0,0.1789896,0.166706,16.0,True,loss,-2.5000000000000013,-5.000000000000003,2025-10-23 08:32:00,183.0,False,57,0.166706,932.2619450692533
completed,PENGUUSDT,short,2025-10-23 05:30:00,0.01993,2.0,5.0,0.0195314,0.0209265,16.0,True,expired,-0.6121435329295621,-1.2242870658591243,2025-10-23 13:00:00,450.0,False,58,0.020174000412225723,931.6498015363238
completed,XPLUSDT,short,2025-10-23 05:30:00,0.3429,2.0,5.0,0.33604199999999995,0.360045,16.0,True,expired,-1.589384479472646,-3.178768958945292,2025-10-23 13:00:00,445.0,False,59,0.3537999987602234,930.0604170568512
completed,GOATUSDT,short,2025-10-23 05:30:00,0.05002,2.0,5.0,0.0490196,0.052521000000000005,16.0,True,expired,-1.0895635928215364,-2.1791271856430727,2025-10-23 13:00:00,451.0,False,60,0.05110999941825867,928.9708534640297
completed,UBUSDT,long,2025-10-23 05:30:00,0.050165,2.0,5.0,0.0511683,0.04765675,16.0,True,loss,-2.5000000000000036,-5.000000000000007,2025-10-23 05:31:00,2.0,False,61,0.04765675,926.4708534640297
completed,SPXUSDT,short,2025-10-23 05:30:00,0.8936,2.0,5.0,0.875728,0.93828,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-23 06:15:00,46.0,False,62,0.93828,923.9708534640297
no_data,BONKUSDT,,2025-10-23 05:30:00,,,,,,,,,,,,,False,63,,
completed,HANAUSDT,short,2025-10-23 09:30:00,0.05024,2.0,5.0,0.0492352,0.052752,16.0,True,loss,-2.5000000000000004,-5.000000000000001,2025-10-23 09:31:00,2.0,False,64,0.052752,921.4708534640297
completed,EVAAUSDT,long,2025-10-23 09:30:00,7.9022,2.0,5.0,8.060243999999999,7.507089999999999,16.0,True,loss,-2.5000000000000044,-5.000000000000009,2025-10-23 09:31:00,2.0,False,65,7.507089999999999,918.9708534640297
completed,MOODENGUSDT,short,2025-10-23 09:30:00,0.10775,2.0,5.0,0.105595,0.1131375,16.0,True,expired,-1.3132238056156316,-2.626447611231263,2025-10-23 17:00:00,451.0,False,66,0.11057999730110168,917.6576296584141
completed,FFUSDT,short,2025-10-23 09:30:00,0.13538,2.0,5.0,0.1326724,0.142149,16.0,True,loss,-2.499999999999999,-4.999999999999998,2025-10-23 09:31:00,2.0,False,67,0.142149,915.1576296584141
completed,PROVEUSDT,short,2025-10-23 09:30:00,0.7988,2.0,5.0,0.782824,0.83874,16.0,True,loss,-2.5000000000000058,-5.0000000000000115,2025-10-23 11:56:00,147.0,False,68,0.83874,912.6576296584141
completed,BTRUSDT,short,2025-10-23 09:30:00,0.06919,2.0,5.0,0.0678062,0.0726495,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-23 09:31:00,2.0,False,69,0.0726495,910.1576296584141
